"BehaviorSpace results (NetLogo 6.0.4)"
"VIA_with_my_additions.nlogo"
"value-iteration-experiments"
"01/04/2023 12:30:35:736 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","black-reward","num-transitions-per-experiment","gamma","red-reward","teleport-reward","num-white-patches","blue-reward","epsilon","p","num-red-patches","num-teleport-pairs","q","num-experiments","[step]","table:get u (list 0 0 0)","total-cumulative-reward / no-expers"
"50","-1","1000","0.25","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.3333333333332575","-1.3333333333333273"
"51","-1","1000","0.3","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.4285714285714086"
"52","-1","1000","0.3","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.3","-1.4285714285714086"
"53","-1","1000","0.3","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.3900000000000001","-1.4285714285714086"
"54","-1","1000","0.3","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.417","-1.4285714285714086"
"55","-1","1000","0.3","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.4251","-1.4285714285714086"
"56","-1","1000","0.3","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.42753","-1.4285714285714086"
"57","-1","1000","0.3","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.428259","-1.4285714285714086"
"58","-1","1000","0.3","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.4284777","-1.4285714285714086"
"59","-1","1000","0.3","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.4285688979","-1.4285714285714086"
"60","-1","1000","0.3","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.4285714285713076","-1.4285714285714086"
"61","-1","1000","0.35","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.5384615384615083"
"62","-1","1000","0.35","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.35","-1.5384615384615083"
"63","-1","1000","0.35","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.4725","-1.5384615384615083"
"64","-1","1000","0.35","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.515375","-1.5384615384615083"
"65","-1","1000","0.35","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.53038125","-1.5384615384615083"
"66","-1","1000","0.35","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.5356334375","-1.5384615384615083"
"67","-1","1000","0.35","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.537471703125","-1.5384615384615083"
"68","-1","1000","0.35","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.53811509609375","-1.5384615384615083"
"69","-1","1000","0.35","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.5384597188812648","-1.5384615384615083"
"70","-1","1000","0.35","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.538461538461275","-1.5384615384615083"
"71","-1","1000","0.4","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.6666666666666865"
"72","-1","1000","0.4","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.4","-1.6666666666666865"
"73","-1","1000","0.4","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.56","-1.6666666666666865"
"74","-1","1000","0.4","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.624","-1.6666666666666865"
"75","-1","1000","0.4","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.6496","-1.6666666666666865"
"76","-1","1000","0.4","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.65984","-1.6666666666666865"
"77","-1","1000","0.4","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.663936","-1.6666666666666865"
"78","-1","1000","0.4","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.6655744000000001","-1.6666666666666865"
"79","-1","1000","0.4","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.6666648770969599","-1.6666666666666865"
